গাজীপুরের,গাজীপ◌ূরের
প্রকৌশলী,পংরকৌশলী
অংশের,অঙশে ে
নির্মাণ,ন◌ীরাণ
শতকরা,শতকরস
নারায়ণগঞ্জের,বারায়ণগঞ্জের
উপজেলায়,উপজেলায়
আতাউর,আরাউর
ওরফে,ওরফর
মাইকিং,মাইলিং
কল,কক
যাননি,হাননি
নারায়ণগঞ্জ,ণাতায়ণগঞ্জ
ইউনিয়নের,অউনিয়নের
গেছি,গেচজি
আসর,আসর
ফোন,ফোব
অপপ্রচার,অপপংরচার
কমপ্লেক্সের,কমপ্লেক্সের
ওপরের,ওপরের
তলা,তলস
বন্ধের,ভন্ধের
প্রকৌশল,পংরকৌসল
বিশ্ববিদ্যালয়ের,ব◌ীশবিদ্যালয়ের
বুয়েট,বুয়েত
বিশেষজ্ঞরা,বিঢেষজ্ঞরা
অধ্যাপক,অধাাপক
আনোয়ার,আন িয়ার
তদন্ত,তদণ্ত
তলার,তলার
ফাটল,ফাটল
ঘটনাস্থল,ঘতণাস্তল
পরিদর্শন,ওরিদর্শন
তলায়,তকায়
কারখানা,কারখাণা
বিশেষজ্ঞ,বিশরষজ্ঞ
শাহজাহান,শাহজাহান
পরীক্ষার,পরীক্কার
মেয়র,মেয়র
বাসস্ট্যান্ড,বা াস্ট্যান্ড
চলছিল,চলছঅল
মিছিলে,মিচগিলে
দেয়নি,ডেয়নি
পক্ষের,ওক্ষের
ধাওয়া,ধাওুা
মুন্সিগঞ্জের,মুণ্সিফঞ্জের
ভূমি,বূমি
লাঞ্ছিত,লাঞছঅত
ইউপি,ইউপি
নিজে,নঅজে
প্রত্যাহারের,পংরতাসহারের
দাবিতে,ডাবিতে
শতাধিক,ষতসধিক
পুরুষ,পুরুষ
বিবরণ,বিভরণ
জমি,জমউ
বিতর্কের,বিতরংকের
দিবাগত,সিবাগত
মুন্সিগঞ্জ,মুন্সিগঞ্জ
পরিষদ,ওরিষদ
কলেজের,ককেজের
শিক্ষার্থী,আহিক্ষার্থী
মিলনায়তনে,ম◌ীলনসয়তনে
স্থাপন,স্টাপন
ক্যাম্পাসের,কাসম্পাসের
ছাত্রীদের,ছসত্রীদের
জায়গার,জায়ফার
ছাত্রদের,ছাতংরদের
খরচে,করচে
অধ্যক্ষ,অেধক্ক
শিক্ষক,আহিক্ষক
নিয়োগ,ন◌ীউোগ
প্রক্রিয়া,পংরক্রিয়া
কলেজে,যলেজে
পরীক্ষায়, োরীক্ষায়
উত্তীর্ণ,উত্তীর্ণ
শয্যার,শেযার
অনুমোদন,ওণুমোদন
বরাদ্দ,বরাড্ড
কাজও,কাকও
চিকিৎসক,চগিকিৎসক
চন্দ্র,ভহন্দ্র
সাহা,সাগা
বর্ষের,বরংষের
একটিতে,একটিতো
প্রতিদ্বন্দ্বিতায়,পংররিদ্বন্দ্বিতায়
দুটিতে,দুটিতে
কাগজে,কসগজে
কলমে,কলমর
মুহম্মদ,মুহমড
প্রার্থিতা,পংরার্থিতা
সেভাবে,সরভাবে
সালেহ,সালেগ
জ্বালিয়ে,জসলিয়ে
মনোনয়নপত্র,মনোময়নপত্র
আসেননি,আসেনবি
পোস্টার,পোস্তার
খোরশেদ,কগোরশেদ
জনসভা,জণসবা
ছিঁড়ে,ছিঁড়ে
দাখিল,দাখিক
নেতারা,নোতারা
নেমেছেন,ণেমেচজেন
গোলাম,গোলান
সিরাজুল,সঅরাজুল
লোকজনকে,লোককনকে
ইউনিয়নে,অউনিয়নে
পুলিশও,পুল◌ীসপ
চিকিৎসাধীন,চিকিতসাধীন
অপরাধে,অওরাধে
প্রকাশ্যে,পংরলাশ্যে
কান,লান
নৌকায়,মৌকায়
নবাবগঞ্জ,ণবসবগঞ্জ
শিশু,শঅশু
মুরাদ,মু োদ
ফাতেমা,ফারেমা
তিনটার,তিণতার
পাইলট,ওাইলট
উচ্চমাধ্যমিক, িচ্চমাধ্যমিক
বিদ্যালয়ের,বিদাালয়ের
ফিরছিলেন,দিরছিলেন
তীব্র,রীব্র
পার্বত্য,পারত্য
রাঙামাটি,রাঙামাটি
সদরে,সডরে
দুর্গম,দুর্গম
ধরা,ধরা
অঙ্গীকার,পঙ্গীকার
প্রচারণায়,পংরচসরণায়
চট্টগ্রামে,ছত্তগ্রামে
শান্তি,শসন্তি
বাস্তবায়ন,বাস্তবায়ন
আদিবাসী,আদিবাআী
ভোটাররা,ভোটাররস
লীগকে,লীগকে
গৌতম,ফৌতম
সুরক্ষা,সু েক্ষা
সাম্প্রদায়িক,সাপ্রফায়িক
রিজার্ভ,রিজারংব
হাতি,হাতি
বাণিজ্য,বাণঅজ্য
জাকির,জাযির
জানেন,হানেন
আচরণবিধি,আছরববিধি
লঙ্ঘন,কঙ্ঘন
পাহাড়ি,পসহাড়ি
বাঙালি,ভাঙালি
পরিবর্তন,প েিবর্তন
মাথা,মসথা
কথাবার্তা,কথাবারংতা
আতঙ্কে,আরঙ্কে
ভয়ে,ভুে
গজ,গজ
আইনে,আইণে
জনের,জনের
অভিযোগপত্র, িভিযোগপত্র
সাক্ষী,সসক্ষী
রোডে,রোডে
সন্ত্রাসীরা,সণ্ত্রাসীরা
চট্টগ্রামের,চগট্টগ্রামের
বহুল,বহুল
চারটার,চা েটার
স্থাপনের,স্টাপনের
প্রকল্প,পংরকল্প
মেজর,মরজর
চলাচলে,ভহলাচলে
সংস্কার,সঙস্কার
নির্মাণকাজ,মির্মাণকাজ
কর্তৃপক্ষের,করংতরিপক্ষের
অর্থায়নে,ওরংটায়নে
সেনাবাহিনীর,দেনাবাহিনীর
নির্মিত,বির্মিত
দাবির,ফাবির
অস্থায়ী,ইস্থায়ী
শ্রমিকদের,সংরনিকদের
করপোরেশন,কতপোরেশন
সেপ্টেম্বর,সেপ্টেম্বর
শাখায়,সগাখায়
পূরণের,পূরণোর
বিজ্ঞপ্তি,ব◌ীজ্ঞপ্তি
কর্মরত,কররর
যাচাই,জাছাঅ
বাছাই,বাছাই
মৌখিক,নৌখিক
পরীক্ষা,পরীক্কা
মনোনীত,ননোনীত
জাতীয়তাবাদী,জাতীয়তাবাদী
সংগ্রামের,সংগংরামেত
জানাচ্ছি,হানাচ্ছি
বজায়,নজায়
বিলের,বিলের
ইদ্রিস,ঈডংরিস
সৌম্য,সম্য
শান্ত,শাণ্ত
মাঝখানে,মসঝখানে
কারা,লারা
রাজু,রসজু
নেশা,ণেশা
সাংবাদিকতা,সাংনাদিকতা
সাপ্তাহিক,সাপ্তসহিক
মুক্তিযুদ্ধের,মুক্তিজুদ্ধের
নিরীহ,মিরীহ
শত্রু,শতংর◌ূ
আতঙ্কিত,আতংকিত
কাটে,কাটে
ছড়িয়ে,ছড়উয়ে
ভোরে,বোরে
ফজলুর,গজলুর
রহমানকে,রযমানকে
মসজিদের,মসজ◌ীডোর
ডাকাত,দাকসত
জড়িয়ে,জড়◌ীয়ে
গ্রামবাসী,গংরামবাসী
